TIME,BTCBUSD
2021-03-03 00:12:12,48245.48
2021-03-03 00:12:13,48236.75
2021-03-03 00:12:14,48257.4
2021-03-03 00:12:15,48252.51
2021-03-03 00:12:16,48250.32
2021-03-03 00:12:17,48250.32
2021-03-03 00:12:18,48237.64
2021-03-03 00:12:19,48237.64
2021-03-03 00:12:20,48250.61
2021-03-03 00:12:21,48261.37
2021-03-03 00:12:22,48263.43
2021-03-03 00:12:23,48261.67
2021-03-03 00:12:24,48263.43
2021-03-03 00:12:25,48263.43
2021-03-03 00:12:26,48257.15
2021-03-03 00:12:27,48247.78
2021-03-03 00:12:28,48247.78
2021-03-03 00:12:29,48247.78
2021-03-03 00:12:30,48249.36
2021-03-03 00:12:31,48245.79
2021-03-03 00:12:32,48247.76
2021-03-03 00:12:33,48242.87
2021-03-03 00:12:34,48242.88
2021-03-03 00:12:35,48247.78
2021-03-03 00:12:36,48247.78
2021-03-03 00:12:37,48247.79
2021-03-03 00:12:38,48247.77
2021-03-03 00:12:39,48233.22
2021-03-03 00:12:40,48250.15
2021-03-03 00:12:41,48257.5
2021-03-03 00:12:42,48275.47
2021-03-03 00:12:43,48282.55
2021-03-03 00:12:44,48290.0
2021-03-03 00:12:45,48290.0
2021-03-03 00:12:46,48290.0
2021-03-03 00:12:47,48290.0
2021-03-03 00:12:48,48290.0
2021-03-03 00:12:49,48290.0
2021-03-03 00:12:50,48290.0
2021-03-03 00:12:51,48289.99
2021-03-03 00:12:52,48287.68
2021-03-03 00:12:53,48287.69
2021-03-03 00:12:54,48287.66
2021-03-03 00:12:55,48287.67
2021-03-03 00:12:56,48281.53
2021-03-03 00:12:57,48275.43
2021-03-03 00:12:58,48290.0
2021-03-03 00:12:59,48290.0
2021-03-03 00:13:00,48290.0
2021-03-03 00:13:01,48290.0
2021-03-03 00:13:02,48300.0
2021-03-03 00:13:03,48299.99
2021-03-03 00:13:04,48299.99
2021-03-03 00:13:05,48299.99
2021-03-03 00:13:06,48293.06
2021-03-03 00:13:07,48298.24
2021-03-03 00:13:08,48295.82
2021-03-03 00:13:09,48292.4
2021-03-03 00:13:10,48295.88
2021-03-03 00:13:11,48295.89
2021-03-03 00:13:12,48295.89
2021-03-03 00:13:13,48300.0
2021-03-03 00:13:14,48300.0
2021-03-03 00:13:15,48300.0
2021-03-03 00:13:16,48300.0
2021-03-03 00:13:17,48299.99
2021-03-03 00:13:18,48299.99
2021-03-03 00:13:19,48300.0
2021-03-03 00:13:20,48300.0
2021-03-03 00:13:21,48300.0
2021-03-03 00:13:22,48300.0
2021-03-03 00:13:23,48292.06
2021-03-03 00:13:24,48293.41
2021-03-03 00:13:25,48288.13
2021-03-03 00:13:26,48285.71
2021-03-03 00:13:27,48285.66
2021-03-03 00:13:28,48285.66
2021-03-03 00:13:29,48278.78
2021-03-03 00:13:30,48278.78
2021-03-03 00:13:31,48278.78
2021-03-03 00:13:32,48278.78
2021-03-03 00:13:33,48278.78
2021-03-03 00:13:34,48281.36
2021-03-03 00:13:35,48281.36
2021-03-03 00:13:36,48282.91
2021-03-03 00:13:37,48280.72
2021-03-03 00:13:38,48280.71
2021-03-03 00:13:39,48280.12
2021-03-03 00:13:40,48265.4
2021-03-03 00:13:41,48264.21
2021-03-03 00:13:42,48269.57
2021-03-03 00:13:43,48269.56
2021-03-03 00:13:44,48269.56
2021-03-03 00:13:45,48263.08
2021-03-03 00:13:46,48264.31
2021-03-03 00:13:47,48268.57
2021-03-03 00:13:48,48253.56
2021-03-03 00:13:49,48250.01
2021-03-03 00:13:50,48250.0
2021-03-03 00:13:51,48251.25
2021-03-03 00:13:52,48249.96
2021-03-03 00:13:53,48229.02
2021-03-03 00:13:54,48229.02
2021-03-03 00:13:55,48241.92
2021-03-03 00:13:56,48248.0
2021-03-03 00:13:57,48259.81
2021-03-03 00:13:58,48262.31
2021-03-03 00:13:59,48262.31
2021-03-03 00:14:00,48263.92
2021-03-03 00:14:01,48260.83
